FID,the_geom,OBJECTID,DistrictID,Governorat,DistrictNa,District_1,Shape_Leng,Shape_Area,dist_Proj
yem_bnd_adm2.1,"MULTIPOLYGON (((50.29073018755771 18.735689282559775, 50.78329993499075 18.78330040593297, 52.000000190369505 18.999998903100867, 51.910270317029855 18.907764280205974, 51.67701569187297 18.614887778003897, 51.59522331111384 18.40674453098911, 51.500301186961885 18.271478904054906, 51.494597564598465 18.243490652191177, 51.49066118855385 18.177888653566946, 51.4740959406973 17.899726401808053, 51.44741106524272 17.810753402875466, 51.369967941239715 17.61108677746242, 51.31924906291709 17.500372026707957, 51.2193184405399 17.316260525906863, 51.097998060901794 17.185136779762892, 51.06011618879179 17.1130840259036, 51.05652181088889 17.111889652737634, 50.96429081231764 17.0812072788541, 50.869491815702716 17.035236780489285, 50.779507064755734 16.97111052812269, 50.7115044397267 16.926841652817014, 50.6731340610096 16.891985400898317, 50.64983981181567 16.82590515318674, 50.60801194024252 16.762891400328492, 50.52969806471322 16.726510277957587, 50.38522506425384 16.70466527953695, 50.3096169359334 16.66811215410159, 50.28965843837781 16.6449207785057, 50.27010193612944 16.63980477525684, 50.25662956049367 16.62903165040075, 50.25685331119109 16.637225400691268, 50.232766062470546 16.641168776716025, 50.15185143943453 16.643198901507567, 50.156807437808695 16.694730150527427, 50.20688380996109 16.797608404862455, 50.24478044046618 16.946329280482793, 50.245685439675064 16.978847277933433, 50.250240313077015 17.14143040197342, 50.25336631397824 17.251985527070584, 50.25800556014262 17.414563404233803, 50.299259315227204 17.667264403177054, 50.32500556545816 17.848773154700908, 50.32367268469223 18.03101477803562, 50.323666436930196 18.03541378065417, 50.32338230984989 18.245765030286268, 50.32207256134515 18.25512027994613, 50.29073018755771 18.735689282559775)))",1,1901,19,Rumah,����,7.10304508,2.23911042,0
yem_bnd_adm2.2,"MULTIPOLYGON (((52.000000190369505 18.999998903100867, 52.289869063448236 18.389725652092604, 52.20384356592324 18.316247531939325, 52.15018768616324 18.001248151998333, 52.20010994063561 17.799182155949573, 52.196983691067246 17.72143977968714, 52.21890581360302 17.398092904776323, 52.22089694116949 17.153340526268355, 52.22942994182977 17.07518327995726, 52.2095596900274 16.90212115456073, 52.16472081367441 16.909561530434253, 52.129657192006505 16.893236781007356, 52.01659256159493 16.81754027638345, 51.92292231488631 16.704598400508203, 51.840626563441475 16.61774765132784, 51.80756368654188 16.610405150842737, 51.78858843752916 16.606187153039308, 51.70447981556102 16.66203990134518, 51.607367313075684 16.841128655293616, 51.52861168657931 16.956552030346018, 51.367833687081045 17.088919528734344, 51.36452131637104 17.08950727839916, 51.205889190003816 17.1200886561216, 51.192262435587516 17.120507654044882, 51.09487118966557 17.119120905758574, 51.07752768824413 17.118869528141314, 51.06011618879179 17.1130840259036, 51.097998060901794 17.185136779762892, 51.2193184405399 17.316260525906863, 51.31924906291709 17.500372026707957, 51.369967941239715 17.61108677746242, 51.44741106524272 17.810753402875466, 51.4740959406973 17.899726401808053, 51.49066118855385 18.177888653566946, 51.494597564598465 18.243490652191177, 51.500301186961885 18.271478904054906, 51.59522331111384 18.40674453098911, 51.67701569187297 18.614887778003897, 51.910270317029855 18.907764280205974, 52.000000190369505 18.999998903100867)))",2,2802,28,Hat,���,5.88337595,1.53761331,0
yem_bnd_adm2.3,"MULTIPOLYGON (((49.73429381490789 18.680258777283427, 50.29073018755771 18.735689282559775, 50.32207256134515 18.25512027994613, 50.32338230984989 18.245765030286268, 50.323666436930196 18.03541378065417, 50.32367268469223 18.03101477803562, 50.32500556545816 17.848773154700908, 50.299259315227204 17.667264403177054, 50.25800556014262 17.414563404233803, 50.25336631397824 17.251985527070584, 50.250240313077015 17.14143040197342, 50.245685439675064 16.978847277933433, 50.24478044046618 16.946329280482793, 50.20688380996109 16.797608404862455, 50.156807437808695 16.694730150527427, 50.15185143943453 16.643198901507567, 50.13604256243408 16.6435919012808, 49.959655061035846 16.641227275661976, 49.89390981148584 16.63945865545719, 49.81062906461145 16.628074530558195, 49.747841064221134 16.606182900831122, 49.65749430986059 16.588222903822864, 49.514995937902576 16.558017778141416, 49.38949818645592 16.514004029110218, 49.26800856395867 16.493172902591397, 49.147235438540754 16.470512027266775, 49.220625064273676 16.551966655875688, 49.409793435276455 16.802325776027235, 49.55168831072267 16.97609052909306, 49.577611189227 17.09709740162763, 49.58087043841807 17.22966265256332, 49.58305956098236 17.318039776632112, 49.64279081427145 17.40508115404612, 49.67615943985964 17.42403253101289, 49.705561184161155 17.61678453128121, 49.712307312448175 17.87426015699946, 49.71953218715684 18.145276405051533, 49.72552730958142 18.36660640240223, 49.72580381501373 18.366685155287172, 49.72530518765382 18.39935802885263, 49.73429381490789 18.680258777283427)))",3,1902,19,Thamud,����,6.09567792,1.37420772,0
yem_bnd_adm2.4,"MULTIPOLYGON (((48.595742313857215 18.366465153246978, 49.116699685022816 18.616699529525047, 49.73429381490789 18.680258777283427, 49.72530518765382 18.39935802885263, 49.72580381501373 18.366685155287172, 49.72552730958142 18.36660640240223, 49.71953218715684 18.145276405051533, 49.712307312448175 17.87426015699946, 49.705561184161155 17.61678453128121, 49.67615943985964 17.42403253101289, 49.64279081427145 17.40508115404612, 49.58305956098236 17.318039776632112, 49.58087043841807 17.22966265256332, 49.577611189227 17.09709740162763, 49.55168831072267 16.97609052909306, 49.409793435276455 16.802325776027235, 49.220625064273676 16.551966655875688, 49.147235438540754 16.470512027266775, 49.139544437268086 16.469065654815687, 49.107112814350394 16.464616651450875, 49.082245938178986 16.466655025774966, 49.067049435107414 16.470052030347897, 49.047738808715714 16.468876276134445, 49.02087906430782 16.463707779251198, 48.95305943343108 16.43656702853567, 48.92884006163952 16.408898655871077, 48.92380143738962 16.40314090488679, 48.88492081234024 16.360477275471382, 48.8563579342203 16.314275025543754, 48.80056068842127 16.288585776039188, 48.758593811913855 16.262633529944992, 48.75794931018979 16.22875190403589, 48.7404370632435 16.216223027499787, 48.688580812481305 16.19765590343941, 48.66068443691112 16.187661274598675, 48.66044293759621 16.18757402973072, 48.569249185638434 16.17718227945882, 48.44690518634642 16.211577030022408, 48.344200812512796 16.234069029271925, 48.36561743825877 16.335121780792665, 48.34207993664655 16.391616649834695, 48.28649468580563 16.4677815252436, 48.14672955742607 16.62862440200009, 48.29008405928223 16.72137453053739, 48.44507143399958 16.918032277274687, 48.51767368630006 17.069647029232712, 48.55601231022269 17.17387965539172, 48.56578630913869 17.179896902975567, 48.595742313857215 18.366465153246978)))",4,1903,19,Al Qaf,����,6.89740083,2.43551025,0
yem_bnd_adm2.5,"MULTIPOLYGON (((52.289869063448236 18.389725652092604, 52.782176187292364 17.349733405195757, 52.75055581606975 17.305833651400675, 52.75138906237384 17.304166276024134, 52.75025868991442 17.30393553156326, 52.743214192136335 17.302338901989575, 52.742844691408344 17.302464279964276, 52.74263868932843 17.30192502660949, 52.74583281259413 17.29444465262563, 52.81228269158395 17.285530656598564, 53.03789869098567 16.80284627987926, 53.03164031708762 16.802100527110273, 53.01431231384602 16.80003490508373, 52.970400816745006 16.794794779629257, 52.84438031722533 16.827791654051786, 52.7780803161407 16.840567276779566, 52.77500644208983 16.841158775101597, 52.72847219043973 16.850112153787816, 52.66056494169431 16.862556402677665, 52.62301518942367 16.869427150504592, 52.52934218872641 16.870595904737904, 52.51945431269119 16.870716402619877, 52.43965231349709 16.868527155722006, 52.250715687840454 16.895383275806257, 52.24668169129124 16.895954526405976, 52.2095596900274 16.90212115456073, 52.22942994182977 17.07518327995726, 52.22089694116949 17.153340526268355, 52.21890581360302 17.398092904776323, 52.196983691067246 17.72143977968714, 52.20010994063561 17.799182155949573, 52.15018768616324 18.001248151998333, 52.20384356592324 18.316247531939325, 52.289869063448236 18.389725652092604)))",5,2801,28,Shahan,���,4.20365382,0.68872834,0
yem_bnd_adm2.6,"MULTIPOLYGON (((47.000000183482115 16.950000527617004, 47.183292810940124 16.94999690329336, 47.18329981092026 16.950000154616287, 47.46670018636311 17.11669977674764, 47.59999781177537 17.449996277962562, 47.600000310880176 17.44999965361906, 48.18330031336204 18.16670027944479, 48.595742313857215 18.366465153246978, 48.56578630913869 17.179896902975567, 48.55601231022269 17.17387965539172, 48.51767368630006 17.069647029232712, 48.44507143399958 16.918032277274687, 48.29008405928223 16.72137453053739, 48.14672955742607 16.62862440200009, 48.02995731231028 16.537685278982504, 47.96853843592234 16.448203650054083, 47.91009568253043 16.39341115007263, 47.811060062942886 16.350729274705436, 47.712143188133936 16.312584399789117, 47.58174380938445 16.262198778958048, 47.54349456265054 16.203647028539635, 47.48629480928487 16.212235152489363, 47.366198058502384 16.22110128009095, 47.27886881156753 16.2145634043215, 47.21461793344435 16.19088877521196, 47.175558560234194 16.16506214954293, 47.14597755800425 16.118524404119437, 47.12430093210775 16.08501690414723, 47.08139930958418 16.059207274877586, 47.05125355940037 16.03988115030605, 46.948322059212835 16.107128902698538, 46.948340056497486 16.108972029796757, 46.94782768406111 16.10897665500566, 46.81082555850063 16.16186990371418, 46.99714080971084 16.369922903205232, 46.99921193349798 16.794975778227702, 47.000000183482115 16.950000527617004)))",6,1904,19,Zamakh wa Manwakh,���� �����,6.60595765,1.92246477,0
yem_bnd_adm2.7,"MULTIPOLYGON (((43.25650005619203 17.457800155469197, 43.24079993376761 17.48050053156986, 43.260399927899705 17.489899652330845, 43.28540005857764 17.517300030196182, 43.294300054644424 17.523099781061326, 43.30270018001557 17.527500027015606, 43.30470005444888 17.531899526968452, 43.3102000557203 17.527699650783237, 43.33590005386223 17.53980040331182, 43.350099930098516 17.552200153216006, 43.354800056196765 17.556400402401934, 43.375599931472095 17.54399952727892, 43.37940018090465 17.555400406126836, 43.3992000536882 17.556599528835278, 43.408449308977346 17.56077190243421, 43.419600053543725 17.56579965371317, 43.431299805433675 17.563900153773098, 43.445399928844594 17.549999529796235, 43.45929993115359 17.55249940547543, 43.46450005849773 17.552399776983634, 43.48459992954214 17.54509953126321, 43.495700182244654 17.52689990616031, 43.50619980432422 17.52399952717677, 43.52029993395182 17.509100025926962, 43.52719980691815 17.514299904603952, 43.56649993344178 17.483399654784318, 43.57680005608729 17.471899781545826, 43.606800056240516 17.438900401801806, 43.61779992823312 17.426100527810675, 43.65360005846888 17.393399654324643, 43.68003218242023 17.36957003098339, 43.68534380589568 17.31386190127259, 43.68544843259709 17.31266290289772, 43.68612305412915 17.307791780836954, 43.68306755658032 17.305104528247035, 43.68047755771096 17.302865529270058, 43.67886380740432 17.29883215438871, 43.677959678530435 17.29501690411061, 43.67752093021913 17.291653276885267, 43.67754393193008 17.28963477728277, 43.677818429375186 17.28626903017001, 43.67903917990859 17.2833490313487, 43.6797869344481 17.280430406413366, 43.6805268062391 17.277961278426698, 43.680549683616476 17.275941529271797, 43.68132030931668 17.270554777235052, 43.681583678907025 17.268310655714878, 43.68235043161644 17.263820777688046, 43.682384803632615 17.26067940294056, 43.6826479307725 17.258434280535127, 43.68291867956038 17.25529327878836, 43.68296468298227 17.2512561552498, 43.68207955849498 17.24564602551636, 43.68211368184401 17.242730651903955, 43.68166743000159 17.24026277968637, 43.681736055917035 17.234203656555238, 43.681762930618774 17.23173552945383, 43.68155692853886 17.229042153435458, 43.68159118243814 17.226125530270643, 43.68258318406451 17.222534030689957, 43.68261743174711 17.219393781161305, 43.68264043345806 17.2171481552049, 43.681492057497316 17.213785528864815, 43.682232184172136 17.21131415044048, 43.68273943406531 17.20839615338969, 43.683742805996914 17.204131406162926, 43.6840135547848 17.200992654853824, 43.68428443412294 17.198299030168307, 43.68409380588929 17.19425915264111, 43.683422305129916 17.190446656351643, 43.678375431347476 17.192626652831706, 43.675758557776376 17.192855780956133, 43.67123430773338 17.19286327827057, 43.668613430621235 17.193317027427415, 43.664806305542115 17.19377090091784, 43.66051468361361 17.194677777563673, 43.657890306511405 17.195129151949285, 43.655513807036385 17.19513477804345, 43.653137058894224 17.19514040413761, 43.65126705709427 17.195646404478385, 43.62360192953593 17.20940265231064, 43.574741179157066 17.234967530942445, 43.56888780322202 17.237107280645027, 43.568541428538545 17.237233653288307, 43.54770793346516 17.24484702689487, 43.532092432470314 17.243705650914265, 43.52768018210959 17.243383154493426, 43.49307743391225 17.240848403247092, 43.47529392841042 17.236822904897572, 43.47233730713527 17.23615328157514, 43.44375193085535 17.229679779512956, 43.43666180887277 17.22740852840722, 43.422630056493475 17.248221906308544, 43.41719843247034 17.270484653100056, 43.41318305487365 17.280028156222325, 43.41232343120211 17.282070403537205, 43.40573080514393 17.297734655725908, 43.39736180668271 17.31277790523578, 43.39022380384129 17.32196590137366, 43.3806946798967 17.334229275998638, 43.37524830369517 17.340194154281672, 43.36519580379303 17.351203152358508, 43.36289730498484 17.353720154987343, 43.361782679372396 17.354939904635494, 43.3497448085482 17.360596901909155, 43.34369955482711 17.36630290526049, 43.34364780719415 17.372058530140684, 43.34359605334452 17.37781403068731, 43.34276905480246 17.386441151862112, 43.342742304434296 17.386541526355344, 43.340443681292534 17.39505577751286, 43.34085105402677 17.39918865655243, 43.341332554437045 17.404068780363858, 43.34159717979648 17.40675127719462, 43.34193330317688 17.41015840252037, 43.342323182177445 17.414111526297223, 43.34250317989063 17.415937153445086, 43.34242280445256 17.424851653023122, 43.34237980368645 17.4296065294101, 43.340060180604254 17.437501655325736, 43.33401843308991 17.442487655390988, 43.322000306437054 17.44526465195367, 43.30849593355635 17.446589401303957, 43.30238930878378 17.447949281105206, 43.29415892982275 17.449782026350103, 43.286713182738886 17.451439405307404, 43.26567255415008 17.457012906370323, 43.25650005619203 17.457800155469197)))",7,2201,22,Baqim,����,1.36999807,0.09117024,11
yem_bnd_adm2.11,"MULTIPOLYGON (((51.80756368654188 16.610405150842737, 51.80756343787474 16.590900526777574, 51.80831656362459 16.581063901041013, 51.751174314536286 16.53254740545821, 51.59321268804318 16.38990352592008, 51.54257181660406 16.283536776152655, 51.54316419147777 16.281409024639835, 51.53055219173166 16.257351025392268, 51.502687564739254 16.17757865488855, 51.477588812671456 16.12208952633268, 51.46231756647266 16.07004452477379, 51.452099566151915 16.040995527251347, 51.409850688668286 16.049908149392436, 51.25389994012967 16.06479165512812, 51.084161941182444 16.06457227475579, 50.99086156198585 16.04925690257205, 50.85189831055 16.01462702478915, 50.78628318851717 15.980421652906799, 50.72824156009746 16.011419902448427, 50.706515312672096 16.01928415012128, 50.4954825596447 16.09553477839527, 50.32904181244504 16.155505653562315, 50.16742619010093 16.19938252998002, 50.1770538111018 16.23600640121824, 50.199230935578484 16.292113274913333, 50.2176218105829 16.334979275868328, 50.23328618710517 16.404567029615567, 50.238077561612414 16.454430151040768, 50.27021731146822 16.493607529244763, 50.26748856254842 16.520332775810402, 50.24377631009978 16.53759265047085, 50.24467931375483 16.570891655475013, 50.255944438991406 16.603927154121898, 50.25662956049367 16.62903165040075, 50.27010193612944 16.63980477525684, 50.28965843837781 16.6449207785057, 50.3096169359334 16.66811215410159, 50.38522506425384 16.70466527953695, 50.52969806471322 16.726510277957587, 50.60801194024252 16.762891400328492, 50.64983981181567 16.82590515318674, 50.6731340610096 16.891985400898317, 50.7115044397267 16.926841652817014, 50.779507064755734 16.97111052812269, 50.869491815702716 17.035236780489285, 50.96429081231764 17.0812072788541, 51.05652181088889 17.111889652737634, 51.06011618879179 17.1130840259036, 51.07752768824413 17.118869528141314, 51.09487118966557 17.119120905758574, 51.192262435587516 17.120507654044882, 51.205889190003816 17.1200886561216, 51.36452131637104 17.08950727839916, 51.367833687081045 17.088919528734344, 51.52861168657931 16.956552030346018, 51.607367313075684 16.841128655293616, 51.70447981556102 16.66203990134518, 51.78858843752916 16.606187153039308, 51.80756368654188 16.610405150842737)))",11,2805,28,Man'ar,����,4.46403672,1.21215348,0
yem_bnd_adm2.8,"MULTIPOLYGON (((43.33649993226706 17.304000278271236, 43.326000055303666 17.328399529659084, 43.276800054555046 17.3582002790454, 43.27081242944489 17.35956377695361, 43.25880018377003 17.362300153738097, 43.24629992882236 17.370999531368668, 43.22799992922623 17.38549953019939, 43.23479993125029 17.389200026806577, 43.23500005856889 17.390600029051733, 43.247100183212936 17.401499781434925, 43.22550005354703 17.4261996527515, 43.25650005619203 17.457800155469197, 43.26567255415008 17.457012906370323, 43.286713182738886 17.451439405307404, 43.29415892982275 17.449782026350103, 43.30238930878378 17.447949281105206, 43.30849593355635 17.446589401303957, 43.322000306437054 17.44526465195367, 43.33401843308991 17.442487655390988, 43.340060180604254 17.437501655325736, 43.34237980368645 17.4296065294101, 43.34242280445256 17.424851653023122, 43.34250317989063 17.415937153445086, 43.342323182177445 17.414111526297223, 43.34193330317688 17.41015840252037, 43.34159717979648 17.40675127719462, 43.341332554437045 17.404068780363858, 43.34085105402677 17.39918865655243, 43.340443681292534 17.39505577751286, 43.342742304434296 17.386541526355344, 43.34276905480246 17.386441151862112, 43.34359605334452 17.37781403068731, 43.34364780719415 17.372058530140684, 43.34369955482711 17.36630290526049, 43.3497448085482 17.360596901909155, 43.361782679372396 17.354939904635494, 43.36289730498484 17.353720154987343, 43.36519580379303 17.351203152358508, 43.37524830369517 17.340194154281672, 43.3806946798967 17.334229275998638, 43.39022380384129 17.32196590137366, 43.39736180668271 17.31277790523578, 43.40573080514393 17.297734655725908, 43.41232343120211 17.282070403537205, 43.41318305487365 17.280028156222325, 43.41719843247034 17.270484653100056, 43.422630056493475 17.248221906308544, 43.43666180887277 17.22740852840722, 43.428880553859685 17.224916025708886, 43.418866056514034 17.221707529482185, 43.41612430851921 17.22082977797575, 43.414122556648955 17.220199531095794, 43.40082693362012 17.216017900862372, 43.40022793176698 17.215830150950932, 43.39961768394218 17.225016406418796, 43.39727855913912 17.23579065649372, 43.39339192895694 17.252307526157132, 43.380518803841454 17.2687531526834, 43.37948868154169 17.269629281636707, 43.36566418079471 17.281381775828187, 43.35788230411376 17.287996029711337, 43.3568568070229 17.28905615370219, 43.35618868192002 17.289747653516734, 43.33649993226706 17.304000278271236)))",8,2202,22,Qatabir,�����,0.72704112,0.01638725,1
yem_bnd_adm2.9,"MULTIPOLYGON (((43.40022793176698 17.215830150950932, 43.389000554203065 17.212297778200735, 43.3832726805763 17.21049540143097, 43.354129307655505 17.20450327544548, 43.340336431152735 17.20255915218617, 43.33984168300029 17.20248953160214, 43.338546804790845 17.202307277234613, 43.33818268148987 17.202255653935232, 43.332447304331986 17.201447025678537, 43.32451230463959 17.197901156519023, 43.32448305516662 17.197888406111147, 43.324246056727034 17.19778140463849, 43.32280093382835 17.19201340235113, 43.32812430682642 17.182705150781747, 43.32841267989823 17.181829904596803, 43.328454679779085 17.18170253106826, 43.331201556533784 17.173377030707446, 43.33302418102586 17.162344154367972, 43.333329432380175 17.160496526394425, 43.333575308236846 17.159006400959107, 43.334426433708686 17.147501280843848, 43.33764068036312 17.141243031279377, 43.344433806740625 17.135788902879593, 43.34540655531327 17.133993028755675, 43.346852554763636 17.132421278329886, 43.34853080311111 17.13107278126722, 43.349976808778166 17.12949753085136, 43.35072055355995 17.126806280937082, 43.350751183135586 17.124338402502815, 43.350777809170175 17.122320151567468, 43.34964118273205 17.11760978038283, 43.34897355496346 17.114021401574814, 43.34712317921795 17.109537901860264, 43.34620005839085 17.107297280330158, 43.34410968154998 17.10326127579375, 43.34200755518649 17.099898400786522, 43.34084430893045 17.09766027836123, 43.33968068345702 17.095864901571602, 43.33875368342244 17.09384902540749, 43.337349808186495 17.091832527575512, 43.33648093409715 17.0899910292471, 43.33643830633176 17.089900278172394, 43.336186431380206 17.089367403129884, 43.335270932201105 17.086676153215606, 43.334126553564715 17.083090528396227, 43.33343980329265 17.08062252562839, 43.33346642932724 17.07837727888938, 43.3334931796954 17.076360153172864, 43.333784679756576 17.074642279715775, 43.33414593095202 17.072512650766008, 43.335282308723 17.06581252590088, 43.33532443293743 17.062223152424284, 43.335129807379424 17.05863527716724, 43.33492368096594 17.05616777795037, 43.334233182036655 17.05414815312904, 43.33332542883913 17.05033752805985, 43.33287918321339 17.04787152706253, 43.33174992975613 17.04293740518048, 43.3308459314325 17.0393471551522, 43.32968230595906 17.037106651738988, 43.32875930324885 17.034642403845048, 43.32445243180766 17.0366682764284, 43.323704932151976 17.037710403134607, 43.32300280803364 17.038689530019532, 43.32083580441193 17.041161150894336, 43.31967105371966 17.04313040196869, 43.319374804116016 17.043631777100558, 43.318150429258964 17.046549401150628, 43.31642218016523 17.052162402989595, 43.31472855797149 17.054407401061457, 43.31304255742576 17.056206277841156, 43.31016992969564 17.05755815056032, 43.30492080870719 17.059362280433465, 43.30277330680635 17.05958953112095, 43.30062568057194 17.06004140284085, 43.29861692872154 17.06021652667798, 43.298008682667266 17.060270151747883, 43.293965056482854 17.06027802827971, 43.29182493377955 17.060281528269783, 43.28635555586708 17.060011780367155, 43.28303205730232 17.05984815116882, 43.28041518373122 17.059852030376288, 43.27708493385347 17.059859900691436, 43.27399480318797 17.059864152899625, 43.269230303382464 17.06054640229636, 43.26684980658308 17.060551027505262, 43.26375618214419 17.060779776412296, 43.260898803926764 17.060784650288348, 43.2587628028814 17.060789026830104, 43.25161780627651 17.061475279767883, 43.24947768357321 17.061479401425817, 43.24813093339724 17.061587528117307, 43.24662030535578 17.06170777733213, 43.243995928253575 17.06238765195763, 43.23971180363951 17.062840655113042, 43.23613355801767 17.06352002618757, 43.23303630303845 17.063975404114224, 43.23017493371334 17.064653028302057, 43.228077183891614 17.064865153810423, 43.22720005405305 17.075400155008097, 43.20809993061659 17.078299906107098, 43.20060005491186 17.085000155305796, 43.185300056574384 17.098600277470826, 43.16019993062061 17.087000278406247, 43.157899933592866 17.104500527162774, 43.15800018375253 17.114099402241642, 43.16380018328481 17.125400279597045, 43.167100058470766 17.12680027562552, 43.17790005802859 17.13069965621558, 43.17080018207723 17.172699530853187, 43.18159993296791 17.182500280137347, 43.188786183452216 17.184978527991575, 43.19030005659992 17.18550040572958, 43.19289980322138 17.188499779103694, 43.18929992977457 17.18890015185779, 43.210999930382734 17.20709977696069, 43.21594417923428 17.21017840055404, 43.21629992866914 17.210399527813067, 43.21404305674108 17.21486015636692, 43.20962693338957 17.22358552593086, 43.19990005689762 17.242800030037515, 43.201699928345896 17.2588001507228, 43.225820933631425 17.266735653966165, 43.232400057063614 17.26890015226639, 43.24478280435173 17.275695280414407, 43.25590005345363 17.278499530896223, 43.26719992992378 17.29219977888734, 43.272200054282884 17.291099781119726, 43.29230005587755 17.292299780379853, 43.302399933087564 17.29319990571269, 43.30980005596693 17.299299530505124, 43.3099999284017 17.30110052717224, 43.312999929660364 17.300199655837964, 43.323800053551764 17.302299656097357, 43.32839992949035 17.303399778198543, 43.32980018040265 17.303299652372456, 43.331500056575095 17.303399529531397, 43.333200057081115 17.303200278764486, 43.33649993226706 17.304000278271236, 43.35618868192002 17.289747653516734, 43.3568568070229 17.28905615370219, 43.35788230411376 17.287996029711337, 43.36566418079471 17.281381775828187, 43.37948868154169 17.269629281636707, 43.380518803841454 17.2687531526834, 43.39339192895694 17.252307526157132, 43.39727855913912 17.23579065649372, 43.39961768394218 17.225016406418796, 43.40022793176698 17.215830150950932)))",9,2203,22,Monabbih,����,0.93699398,0.03730884,0
